ProductName,ProductPrice,ProductRating,SellerName1,SellerName2,SellerName3,SellerName4,SellerName5
Buzz Casuals For Men  (Blue),"1,999",4.2,HSAtlastradeFashion(4.7),nan,nan,nan,nan
"Stylish Comfortable Lightweight, Breathable Walking Shoes For Men Loafers For Men  (Blue)",329,3.9,Auvio(4.3),nan,nan,nan,nan
Slip On Sneakers For Men  (Grey),299,3.9,KZAARA(4.6),nan,nan,nan,nan
Casual Loafers For Men  (Brown),249,4,AjantaFootcare(4.7),nan,nan,nan,nan
Stylish Casual Sports Shoe Running Shoes For Women  (Pink),499,4.1,LayasaFootwear(4.3),nan,nan,nan,nan
RUNSTEER M Running Shoes For Men  (Grey),"3,799",3.3,HSAtlastradeFashion(4.7),nan,nan,nan,nan
Premium Sports Shoes for Men Running Shoes For Men  (Blue),299,3.7,Auvio(4.3),nan,nan,nan,nan
fuzor B Running Shoes For Men  (White),"3,949",4.2,RetailNet(4.8),nan,nan,nan,nan
Running / Walking / Multicolor Shoes / Sport Shoes For Men Running Shoes For Men  (Multicolor),459,3.9,SbRetailIndia(3.6),nan,nan,nan,nan
"Trendy Sports Running Running Shoes For Men  (Grey, Orange)",272,3.9,SALEMARTINDIA(4.2),nan,nan,nan,nan
OXYFIT (N) Casuals For Men  (Blue),599,4.2,RetailNet(4.8),Campusactivewear(4.7),CAMPUS COMPANY STORE(4.3),nan,nan
Essex Comfort Running Shoes For Men  (Black),"1,999",4.3,HSAtlastradeFashion(4.7),nan,nan,nan,nan
StreetAhead M Running Shoes For Men  (White),"1,619",4.2,RetailNet(4.8),nan,nan,nan,nan
Casual Loafers For Men  (Brown),249,4,AjantaFootcare(4.7),nan,nan,nan,nan
"Mesh | Ultralightweight | Comfortable | Breathable Walking | Outdoor | Daily Use Casuals For Men  (Black, White)",749,4,PrideShoes(4.7),nan,nan,nan,nan
PUMA Cave V3 Casuals For Men  (Black),"4,191",4.1,HSAtlastradeFashion(4.7),nan,nan,nan,nan
Sneakers For Men  (Navy),"1,299",4.1,RetailNet(4.8),nan,nan,nan,nan
Sneakers For Men  (Multicolor),"1,189",3.9,RetailNet(4.8),nan,nan,nan,nan
"Barfi-02 Grey Casual sneakers for ladies | sports shoes for women without laces | Running shoes for girls stylish latest design new fashion | Slip on black shoes for jogging, walking, gym & party Walking Shoes For Women  (Grey)",279,4,Asianshoe(4.3),nan,nan,nan,nan
"Captain-12 Running shoes for boys | sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight blue shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Navy, Blue)",525,4,Asianshoe(4.3),MFCRETAIL(4.2),nan,nan,nan
"Cosko Sports Shoes,Running Shoes,Walking Shoes,Training Shoes, Running Shoes For Men  (Blue)",578,4.1,Asianshoe(4.3),MFCRETAIL(4.2),nan,nan,nan
CRUNCH Running Shoes For Men  (Black),749,4.2,Campusactivewear(4.7),HSAtlastradeFashion(4.7),nan,nan,nan
"Cosko Black Sports Shoes,Running Shoes,Walking Shoes,Training Shoes, Running Shoes For Men  (Black)",578,4.1,Asianshoe(4.3),MFCRETAIL(4.2),nan,nan,nan
Sport Shoes For Men Running Shoes For Men  (Green),299,3.8,Auvio(4.3),RK footwear hub(4.1),nan,nan,nan
"Wndr,Cosko-13 Full Black Boys School Shoes,Running Shoes,Walking Shoes,Sports Shoes,Gym Shoes Running Shoes For Men  (Black)",524,4,Asianshoe(4.3),MFCRETAIL(4.2),nan,nan,nan
ExcelCourt M Running Shoes For Men  (White),"2,455",4.1,RetailNet(4.8),DIIATBonline(4.4),adi Sports India Pvt Ltd(3.6),nan,nan
Casual Loafers For Men  (Brown),249,4,AjantaFootcare(4.7),nan,nan,nan,nan
Sneakers For Men  (Grey),799,4.7,ARNERALINKSecom(4.7),Brandbox Labs Pvt Ltd(None),nan,nan,nan
Sneakers For Men  (Multicolor),"1,299",4.1,RetailNet(4.8),nan,nan,nan,nan
Casuals For Men  (Brown),"2,446",4.4,HSAtlastradeFashion(4.7),nan,nan,nan,nan
Sneakers For Men  (Tan),494,3.7,AMIFAA(4.1),nan,nan,nan,nan
Stylish Casual Sports Shoe Running Shoes For Women  (Grey),499,4.1,LayasaFootwear(4.3),nan,nan,nan,nan
"Delta-14 sports shoes for men | Latest Stylish Casual sport shoes for men | running shoes for boys | Lace up Lightweight black shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Black, Grey)",736,4,Asianshoe(4.3),MFCRETAIL(4.2),nan,nan,nan
Harquin M Running Shoes For Men  (Grey),"2,594",4.2,RetailNet(4.8),DIIATBonline(4.4),nan,nan,nan
New Design Lightweight Stylish and Trendy shoes Running Shoes For Men  (Multicolor),299,3.7,Auvio(4.3),nan,nan,nan,nan
Running Shoes For Men  (Multicolor),249,4,Nanakwani footcare(4),nan,nan,nan,nan
GEL CONTEND 4B+ Running Shoes For Men  (White),"1,860",4.2,HSAtlastradeFashion(4.7),nan,nan,nan,nan
Gambito M Running Shoes For Men  (White),"3,965",4.3,HSAtlastradeFashion(4.7),nan,nan,nan,nan
Rivel Running Shoes For Men  (Black),"2,479",4.3,HSAtlastradeFashion(4.7),nan,nan,nan,nan
BRAZIL Running Shoes For Men  (Blue),"1,119",4.1,RetailNet(4.8),Campusactivewear(4.7),CAMPUS COMPANY STORE(4.3),nan,nan
Casual Loafers For Men  (Tan),249,4,AjantaFootcare(4.7),nan,nan,nan,nan
SNK-701 Casuals For Men  (White),899,4.1,RetailNet(4.8),nan,nan,nan,nan
Outdoors For Men  (Brown),"3,076",4,HSAtlastradeFashion(4.7),nan,nan,nan,nan
Series 7 Sneakers For Men  (White),431,3.8,KraasaFashion(4.6),Kraasa(4.1),KBLR(4),nan,nan
"Bersache Boots , Sneakers & loaFers shoes For Men pack of 2 Combo(O)-400-606 Boots For Men  (Multicolor)",469,4.1,BERSACHE(4),ORICUMFOOTWEAR(3.9),nan,nan,nan
Walking Shoes For Women  (Black),398,4,SukunFootwear(4),nan,nan,nan,nan
Walking Shoes For Men  (Black),"1,727",4.2,HSAtlastradeFashion(4.7),nan,nan,nan,nan
Trendy Sports Running Running Shoes For Men  (Black),324,3.8,SALEMARTINDIA(4.2),Aircum(3.5),nan,nan,nan
Oxygen-05 Running Shoes For Men  (White),"1,148",4.1,Asianshoe(4.3),MFCRETAIL(4.2),nan,nan,nan
BULL PRO Running Shoes For Men  (Grey),974,4.1,RetailNet(4.8),Campusactivewear(4.7),CAMPUS COMPANY STORE(4.3),nan,nan
